Country;Year;Mental disorders;% Eating disorders;% Anxiety disorders;% Drug disorders;% Depressive disorders;%HappyPeople;Annual working hours per worker;Depressive disorders;Physical Activity;Drug use;Smoking;Life satisfaction;Productivity per hour worked;Continent;Paid work;Shopping;Personal care;Sports;Seeing friends;TV and Radio;Other leisure activities;Income
Antigua and Barbuda;2015;0.1406;0.0028;0.0454;0.0083;0.0305;;;0.0305;351.48;144.36;923.68;;;North America;;;;;;;;12850.0
Argentina;2015;0.1358;0.0035;0.0532;0.0075;0.0261;;1703.4685;0.0261;14770.14;143503.07;1257862.08;0.0603933000564575;26.997778;South America;;;;;;;;12570.0
Armenia;2015;0.1137;0.0013;0.0336;0.0054;0.0315;;;0.0315;8557.17;7123.28;126862.24;0.0428773641586304;;Asia;;;;;;;;4010.0
Australia;2015;0.1901;0.0111;0.0605;0.0231;0.0495;;1746.4835;0.0495;63254.97;169464.27;498582.23;0.0725703763961792;56.053726;Oceania;211.146629603892;29.0201528839472;56.0389159138291;19.0132036136206;40.0069492703266;140.097289784573;76.073662265462;60500.0
Austria;2015;0.1574;0.0062;0.0653;0.0121;0.0341;0.86381081;1605.2805;0.0341;24827.32;40734.09;315064.37;0.0729372787475586;62.702095;Europe;279.53226810278;20.7324461119906;54.9568898982881;32.07853;81.77063;108.826296674752;59.1023;47480.0
Azerbaijan;2015;0.1041;0.0015;0.0267;0.0047;0.0289;;;0.0289;21562.0;20486.19;335380.73;0.0515227937698364;;Asia;;;;;;;;6570.0
Bahamas;2015;0.1407;0.0031;0.0454;0.0101;0.0312;;;0.0312;1275.53;812.3;4132.16;;;North America;;;;;;;;
Bahrain;2015;0.1458;0.0029;0.0512;0.0042;0.0473;;;0.0473;5682.39;2936.94;14938.14;0.0622732067108154;;Asia;;;;;;;;22580.0
Bangladesh;2015;0.119;0.0011;0.0324;0.0037;0.0472;;2418.7507;0.0472;160443.78;166003.5;2525477.08;0.043097710609436;4.0340605;Asia;;;;;;;;1220.0
Barbados;2015;0.1431;0.0025;0.0455;0.0115;0.0327;;;0.0327;1964.7;456.82;3584.85;;;North America;;;;;;;;15740.0
Belarus;2015;0.1266;0.0014;0.0377;0.0093;0.042;;;0.042;43444.95;56862.16;552977.78;0.0555291509628296;;Europe;;;;;;;;6710.0
Belgium;2015;0.1502;0.0047;0.0561;0.0118;0.039;0.89463463;1575.4569;0.039;30649.74;44434.27;461318.85;0.0692834758758545;66.488235;Europe;194.476452188763;28.5959056360971;52.6697030404366;21.0165774533221;50.4762420901579;130.567855990874;121.923582692993;45570.0
Belize;2015;0.1428;0.002;0.0434;0.0094;0.0342;;;0.0342;881.99;642.86;3251.03;;;North America;;;;;;;;4400.0
Benin;2015;0.1183;0.001;0.0326;0.0034;0.0451;;;0.0451;6437.79;10793.0;57541.34;0.0485318088531494;;Africa;;;;;;;;1180.0
Bermuda;2015;0.145;0.0038;0.0458;0.0098;0.0336;;;0.0336;320.48;158.27;1385.03;;;North America;;;;;;;;101120.0
Bhutan;2015;0.1209;0.0014;0.0335;0.0037;0.041;;;0.041;1345.16;1549.36;7761.44;;;Asia;;;;;;;;2520.0
Bosnia and Herzegovina;2015;0.1153;0.0014;0.0378;0.004;0.0291;;;0.0291;12023.41;7489.01;225243.73;0.0508990240097046;;Europe;;;;;;;;5210.0
Botswana;2015;0.1185;0.0018;0.0374;0.006;0.0443;;;0.0443;3655.03;14278.61;45949.33;0.0350488114356995;;Africa;;;;;;;;6840.0
Brazil;2015;0.1672;0.0024;0.0774;0.0114;0.0403;;1722.8759;0.0403;966296.16;709159.0;4621091.25;0.063329291343689;19.356064;South America;;;;;;;;10190.0
Bulgaria;2015;0.1115;0.0016;0.0363;0.0072;0.0286;0.45650059;1644.3853;0.0286;28965.81;26728.59;597663.5;0.0509690189361572;24.152256;Europe;;;;;;;;7450.0
Burkina Faso;2015;0.1187;0.0009;0.0315;0.0026;0.0459;;;0.0459;6485.08;17680.2;95374.93;0.0464689111709595;;Africa;;;;;;;;700.0
Burundi;2015;0.1305;0.0007;0.0368;0.0034;0.0479;;;0.0479;2059.81;7508.65;79698.53;;;Africa;;;;;;;;260.0
Cambodia;2015;0.1249;0.0008;0.0468;0.0043;0.0304;;2458.309;0.0304;11704.0;50621.45;413521.73;0.0458584213256836;2.7521517;Asia;;;;;;;;1060.0
Cameroon;2015;0.1189;0.0011;0.0328;0.0046;0.0471;;;0.0471;19234.42;52620.53;176261.79;0.0507405138015747;;Africa;;;;;;;;1440.0
Canada;2015;0.1496;0.0047;0.048;0.0273;0.036;;1710.7802;0.036;74496.27;312376.43;1108300.27;0.0741486835479736;53.85795;North America;268.660609647899;24.0954479242964;52.0372293181047;20.9987911821773;53.4766520162121;109.370618333306;89.4815202253182;47590.0
Central African Republic;2015;0.1454;0.0007;0.0442;0.0034;0.0599;;;0.0599;4666.92;12277.29;67505.47;0.034758620262146;;Africa;;;;;;;;400.0
Chad;2015;0.1262;0.001;0.034;0.0029;0.0522;;;0.0522;5456.81;13762.5;90021.47;0.0455893707275391;;Africa;;;;;;;;880.0
Chile;2015;0.1536;0.0038;0.0598;0.0114;0.0403;;1988.0;0.0403;23388.01;73752.14;325841.7;0.0632011938095093;27.039087;South America;;;;;;;;14130.0
China;2015;0.1128;0.0011;0.0332;0.0061;0.0294;;2170.4592;0.0294;2138606.57;4689320.91;53648274.02;0.0509906148910522;10.392884;Asia;314.781401804303;19.9861207494795;51.9639139486468;22.9840388619015;22.9840388619015;126.911866759195;52.9632199861207;7940.0
Colombia;2015;0.1134;0.0022;0.0426;0.0088;0.0229;;1997.0325;0.0229;46230.48;71751.81;446384.07;0.0615734195709229;15.556253;South America;;;;;;;;7330.0
Congo;2015;0.1302;0.0013;0.0381;0.0041;0.0563;;;0.0563;6214.93;10913.33;38847.56;0.0488399124145508;;Africa;;;;;;;;
Cook Islands;2015;0.1164;0.0016;0.0428;0.0078;0.0333;;;0.0333;116.17;45.24;614.91;;;Oceania;;;;;;;;
Costa Rica;2015;0.1298;0.0024;0.0444;0.0062;0.0341;;2156.9104;0.0341;2488.94;7934.62;50105.04;0.0722518157958984;17.4247;North America;;;;;;;;10700.0
Croatia;2015;0.1164;0.0018;0.0384;0.0095;0.0322;0.7207341;1827.651;0.0322;15489.49;11314.5;247831.79;0.053431658744812;30.722673;Europe;;;;;;;;12970.0
Cuba;2015;0.1511;0.002;0.0448;0.008;0.0398;;;0.0398;57992.46;16902.47;484076.43;;;North America;;;;;;;;7230.0
Cyprus;2015;0.1566;0.0043;0.0707;0.0062;0.0328;0.79902122;1824.3308;0.0328;3149.07;2507.66;37557.45;0.0606205129623413;41.750725;Asia;;;;;;;;25980.0
Czechia;2015;0.1118;0.002;0.0342;0.0135;0.0311;0.83281982;1756.161;0.0311;44769.89;34080.72;526375.86;0.067895679473877;37.861492;Europe;;;;;;;;
Denmark;2015;0.1422;0.0051;0.0547;0.0115;0.039;0.98213898;1407.1481;0.039;11245.94;25621.08;273005.32;0.0759370231628418;67.80658;Europe;199.771595915566;26.0309028598608;51.5983613935143;22.1150724298138;81.3715214585051;122.97380825958;94.9450259688467;60510.0
Djibouti;2015;0.1202;0.0011;0.0337;0.0037;0.0459;;;0.0459;282.5;1014.73;13865.1;;;Africa;;;;;;;;2730.0
Dominica;2015;0.1419;0.0022;0.0449;0.0105;0.0314;;;0.0314;364.79;126.1;999.04;;;North America;;;;;;;;6910.0
Dominican Republic;2015;0.15;0.0023;0.047;0.0055;0.0396;;2156.5974;0.0396;47095.95;16873.71;203071.65;0.0560520267486572;15.97378;North America;;;;;;;;6580.0
Ecuador;2015;0.1462;0.0029;0.0551;0.0065;0.0352;;1620.1982;0.0352;18988.61;26456.6;112622.05;0.0583951854705811;14.822678;South America;;;;;;;;5970.0
Egypt;2015;0.1458;0.002;0.0477;0.0031;0.0409;;;0.0409;523133.09;122562.42;2089027.11;0.0392934417724609;;Africa;;;;;;;;
El Salvador;2015;0.1325;0.002;0.0464;0.0038;0.036;;;0.036;4444.17;8751.49;43206.15;0.0633931827545166;;North America;;;;;;;;3440.0
Equatorial Guinea;2015;0.1319;0.0023;0.0389;0.0042;0.0586;;;0.0586;1016.3;3142.44;5103.36;;;Africa;;;;;;;;10850.0
Eritrea;2015;0.1289;0.0009;0.0381;0.0037;0.0497;;;0.0497;1400.2;6148.14;55152.03;;;Africa;;;;;;;;
Estonia;2015;0.1222;0.0018;0.0367;0.0171;0.0398;0.79340996;1851.6166;0.0398;3452.7;14860.51;56006.52;0.0593839597702026;31.78334;Europe;230.788021522939;23.9597728019747;53.6616586103884;27.4746743499677;37.6248632000503;122.162536824955;114.283895452449;18700.0
Eswatini;2015;0.1192;0.0015;0.0364;0.0071;0.0459;;;0.0459;2040.25;8440.99;11133.1;;;Africa;;;;;;;;3800.0
Ethiopia;2015;0.1253;0.0008;0.0349;0.0034;0.0469;;;0.0469;15873.3;77711.21;220969.06;0.0418031549453735;;Africa;;;;;;;;600.0
Fiji;2015;0.1154;0.0011;0.0419;0.0071;0.0301;;;0.0301;6458.62;1743.38;29241.45;;;Oceania;;;;;;;;5100.0
Finland;2015;0.1498;0.0052;0.0441;0.0114;0.0454;0.94547577;1607.14;0.0454;17225.68;32384.17;161333.75;0.0778825187683105;56.280693;Europe;200.047879;26.1562;51.58296;37.23085;54.64598;118.1499;113.2477;47180.0
France;2015;0.1664;0.0051;0.0691;0.0126;0.0421;0.85502945;1519.4844;0.0421;167211.99;226843.65;1976587.89;0.0663522243499756;65.6156;Europe;170.060642467443;22.1051012956045;106.514806242951;11.9611007010534;55.2010732353962;113.848906672811;97.6893457256811;41130.0
Gabon;2015;0.1309;0.0018;0.0404;0.0043;0.0565;;;0.0565;2268.17;3624.3;15641.71;0.0478238296508789;;Africa;;;;;;;;7970.0
Gambia;2015;0.1295;0.0009;0.0337;0.0035;0.056;;;0.056;1271.0;3607.54;17288.1;0.0411793899536133;;Africa;;;;;;;;
Georgia;2015;0.1102;0.0013;0.0265;0.0047;0.0349;;;0.0349;12788.26;15255.26;185251.21;0.0445077466964722;;Asia;;;;;;;;4410.0
Germany;2015;0.1523;0.0046;0.0687;0.0107;0.0386;0.91683266;1400.7931;0.0386;191279.25;289826.31;3538037.41;0.0707432460784912;65.975876;Europe;223.839012333333;32.0904666666667;54.6778833333333;26.43525;60.64695;118.4651;112.076283333333;45780.0
Ghana;2015;0.114;0.0011;0.0306;0.0051;0.0443;;;0.0443;24198.27;69446.2;151711.25;0.0548131084442139;;Africa;;;;;;;;1950.0
Greece;2015;0.1699;0.0048;0.0641;0.0067;0.0525;0.4120134;2031.1404;0.0525;22748.55;28630.2;581622.38;0.0514824151992798;34.289143;Europe;187.368060303144;16.354266998801;57.0365120940825;27.6876478923435;56.3277883369752;136.969447780922;115.320136761767;20150.0
Greenland;2015;0.1769;0.0053;0.0527;0.018;0.0656;;;0.0656;87.73;413.58;3492.93;;;North America;;;;;;;;
Grenada;2015;0.1434;0.0022;0.0448;0.0093;0.0335;;;0.0335;447.9;209.25;1515.92;;;North America;;;;;;;;7750.0
Guam;2015;0.1158;0.0019;0.0421;0.0079;0.0336;;;0.0336;474.36;476.41;4714.44;;;Oceania;;;;;;;;
Guatemala;2015;0.1323;0.0019;0.0443;0.0042;0.0385;;;0.0385;3216.85;33742.93;95666.15;0.0632511854171753;;North America;;;;;;;;3700.0
Guinea;2015;0.1188;0.0009;0.0338;0.0027;0.0443;;;0.0443;6525.67;13202.23;127592.21;0.0487372255325317;;Africa;;;;;;;;760.0
Guinea-Bissau;2015;0.1178;0.0009;0.0314;0.003;0.0456;;;0.0456;1240.35;3172.1;9134.77;;;Africa;;;;;;;;640.0
Guyana;2015;0.159;0.0019;0.0453;0.0067;0.0518;;;0.0518;3932.77;1636.2;12954.17;;;South America;;;;;;;;5470.0
Haiti;2015;0.1509;0.0012;0.047;0.0061;0.0369;;;0.0369;29994.88;23631.72;92906.3;0.0382386565208435;;North America;;;;;;;;1390.0
Honduras;2015;0.127;0.0017;0.0423;0.0051;0.0329;;;0.0329;3780.07;14559.6;100092.24;0.0601998567581177;;North America;;;;;;;;2060.0
Hungary;2015;0.1134;0.0019;0.0369;0.0074;0.0304;0.65929535;1745.948;0.0304;34570.56;17969.16;708739.35;0.0606503868103027;33.037334;Europe;199.446772180411;19.2119906963842;76.112454503358;12.9316792524107;35.1334101755587;133.897686789366;93.7462245097509;13250.0
Iceland;2015;0.1458;0.0048;0.0562;0.0111;0.032;;1486.4058;0.032;794.05;1369.74;8344.87;0.0747621393203735;58.148865;Europe;;;;;;;;49940.0
India;2015;0.1394;0.0012;0.0311;0.0046;0.0381;;2118.8215;0.0381;2128424.79;3525025.77;25718444.47;0.0404611110687256;7.217728;Asia;271.540982812833;11.5684164415564;75.4933484382237;5.49870466801727;73.2575313102545;61.4372416971058;109.19343947153;1600.0
Indonesia;2015;0.1069;0.0011;0.0366;0.0044;0.0248;;2024.287;0.0248;456788.92;407556.06;6901376.02;0.0509840154647827;11.100419;Asia;;;;;;;;3430.0
Iraq;2015;0.1503;0.0021;0.0563;0.0038;0.0414;;;0.0414;159128.72;79220.01;659147.47;0.0446239900588989;;Asia;;;;;;;;5800.0
Ireland;2015;0.177;0.0046;0.0793;0.0139;0.0442;0.92790047;1770.5844;0.0442;13914.66;24003.25;141670.91;0.0706015539169312;100.3916;Europe;231.22452;27.56674;42.27291;20.02075;48.95445;85.1351;116.4735;50430.0
Israel;2015;0.1447;0.004;0.0408;0.0086;0.0447;;1895.9094;0.0447;18907.46;17930.7;150132.44;0.0733103609085083;40.402554;Asia;;;;;;;;36060.0
Italy;2015;0.1512;0.0058;0.0605;0.011;0.038;0.6464093;1717.469;0.038;217993.4;222304.48;2062900.69;0.0619887018203735;53.381702;Europe;148.894551667369;27.7427282210164;67.5124773650722;38.2140859775021;65.3572067967137;103.692722108948;110.171289501065;33000.0
Jamaica;2015;0.1393;0.002;0.0425;0.0104;0.0309;;;0.0309;13800.38;4593.94;45326.89;0.058897590637207;;North America;;;;;;;;4700.0
Japan;2015;0.1064;0.0042;0.0256;0.0085;0.023;;1756.9;0.023;293159.02;334480.82;4500199.71;0.059106764793396;43.800053;Asia;325.711372400686;24.9289075041054;84.5629608649925;10.2225999594073;16.912066166024;103.224657268853;147.953249257339;38840.0
Jordan;2015;0.15;0.002;0.0522;0.0043;0.0434;;;0.0434;18480.18;14687.1;117461.53;0.0480808258056641;;Asia;;;;;;;;3950.0
Kazakhstan;2015;0.1064;0.0017;0.0225;0.0081;0.0369;;;0.0369;44926.94;136003.31;598415.74;0.0588235139846802;;Asia;;;;;;;;11380.0
Kenya;2015;0.1237;0.001;0.0351;0.0032;0.0486;;;0.0486;7318.66;278873.99;323794.34;0.0447565412521362;;Africa;;;;;;;;1290.0
Kiribati;2015;0.1221;0.0007;0.042;0.0068;0.0305;;;0.0305;532.75;403.77;8181.99;;;Oceania;;;;;;;;3470.0
Kuwait;2015;0.1393;0.0038;0.0485;0.0046;0.0428;;;0.0428;12270.02;6836.86;45455.87;0.0609390544891357;;Asia;;;;;;;;41820.0
Kyrgyzstan;2015;0.1133;0.001;0.0218;0.0056;0.036;;;0.036;8712.47;32085.61;140992.29;0.0562953662872314;;Asia;;;;;;;;
Latvia;2015;0.1264;0.0017;0.0408;0.0125;0.0402;0.71389511;1901.7413;0.0402;12561.93;14527.4;104381.36;0.0597781753540039;28.915426;Europe;316.55785239539;15.851147895987;40.139126199078;24.9906312795239;35.084831672703;123.297316798906;80.6722335381973;16690.0
Lebanon;2015;0.172;0.0024;0.0692;0.0074;0.0531;;;0.0531;34038.06;20179.71;189380.23;0.0515398979187012;;Asia;;;;;;;;7280.0
Lesotho;2015;0.1329;0.0011;0.0372;0.0062;0.0568;;;0.0568;2911.6;21321.65;73721.34;0.0379530072212219;;Africa;;;;;;;;1310.0
Liberia;2015;0.1276;0.0008;0.0353;0.004;0.049;;;0.049;3222.99;7532.73;20749.47;0.044244909286499;;Africa;;;;;;;;630.0
Libya;2015;0.1516;0.0023;0.0553;0.0087;0.0457;;;0.0457;26900.39;33225.29;95650.5;0.0564685249328613;;Africa;;;;;;;;5690.0
Lithuania;2015;0.1324;0.0018;0.046;0.0085;0.0429;0.74700775;1894.8954;0.0429;17890.71;19184.25;145805.64;0.0627294063568115;31.018784;Europe;303.647286983591;17.2769022801563;54.2643061197636;15.9622240010951;31.7824607910675;136.784337352373;60.7308365857219;5960.0
Luxembourg;2015;0.1493;0.0062;0.0585;0.0133;0.0354;0.95055534;1513.6758;0.0354;1045.15;2637.01;16962.33;0.070613808631897;76.55745;Europe;247.225461265374;23.030768700503;55.272546259104;33.2370820507518;32.301265480461;116.073319917597;82.3320368322953;72520.0
Madagascar;2015;0.1297;0.0009;0.0403;0.0034;0.0482;;;0.0482;5434.98;21209.02;182929.14;0.0407862043380737;;Africa;;;;;;;;490.0
Malawi;2015;0.1248;0.0008;0.0393;0.0035;0.0421;;;0.0421;4128.08;20535.83;132347.3;0.0341686296463013;;Africa;;;;;;;;350.0
Malaysia;2015;0.1222;0.0015;0.0487;0.006;0.0385;;2169.2876;0.0385;75955.37;127493.91;642125.76;;23.080912;Asia;;;;;;;;10680.0
Maldives;2015;0.1116;0.0012;0.0377;0.0055;0.0308;;;0.0308;503.7;874.16;4917.44;;;Asia;;;;;;;;7650.0
Mali;2015;0.1049;0.0009;0.0274;0.0027;0.0354;;;0.0354;7476.29;18280.45;92544.32;0.0474185037612915;;Africa;;;;;;;;800.0
Malta;2015;0.1567;0.0044;0.0692;0.0098;0.0334;0.92246521;1933.2285;0.0334;2826.73;1556.25;13777.61;0.0667566585540771;39.66399;Europe;;;;;;;;25230.0
Marshall Islands;2015;0.1185;0.0008;0.0415;0.0074;0.0298;;;0.0298;265.92;188.73;1758.75;;;Oceania;;;;;;;;4250.0
Mauritania;2015;0.1054;0.0011;0.0281;0.0036;0.0372;;;0.0372;6340.58;3200.41;22791.42;0.0467815971374512;;Africa;;;;;;;;1640.0
Mauritius;2015;0.1192;0.0014;0.0398;0.0069;0.0396;;;0.0396;6709.83;6042.85;27643.03;0.0617411756515503;;Africa;;;;;;;;10700.0
Mexico;2015;0.1219;0.0025;0.0372;0.0056;0.0375;;2140.0;0.0375;219608.77;251347.38;1141628.45;0.0641029930114746;20.835148;North America;302.333564;14.17935;57.88589;13.57335;44.15583;65.65993;41.33212;10160.0
Monaco;2015;0.1602;0.0091;0.0605;0.0114;0.0447;;;0.0447;200.75;127.65;2219.94;;;Europe;;;;;;;;
Mongolia;2015;0.1114;0.0013;0.0201;0.0062;0.0424;;;0.0424;2600.66;15676.25;98486.75;0.0533385038375854;;Asia;;;;;;;;3820.0
Montenegro;2015;0.1166;0.0016;0.0393;0.0065;0.0302;0.59172894;;0.0302;1662.99;1366.18;46131.15;0.056147985458374;;Europe;;;;;;;;7260.0
Morocco;2015;0.1578;0.0019;0.0497;0.0049;0.0533;;;0.0533;202484.22;87244.66;593714.86;0.053124828338623;;Africa;;;;;;;;3020.0
Mozambique;2015;0.1334;0.0008;0.0408;0.0037;0.0504;;;0.0504;6597.66;49749.51;263001.78;0.0427986335754395;;Africa;;;;;;;;640.0
Myanmar;2015;0.1096;0.0009;0.0403;0.0052;0.0223;;2445.9854;0.0223;68573.91;313549.7;1563088.45;0.0415434169769287;4.738345;Asia;;;;;;;;1160.0
Namibia;2015;0.1108;0.0016;0.0363;0.007;0.0371;;;0.0371;4305.0;11232.45;29164.83;0.0444130611419678;;Africa;;;;;;;;5310.0
Nauru;2015;0.1186;0.0011;0.0421;0.0073;0.0328;;;0.0328;34.23;32.23;442.86;;;Oceania;;;;;;;;13690.0
Nepal;2015;0.1383;0.001;0.0333;0.0038;0.05;;;0.05;25527.77;52563.29;789130.44;0.0473669242858887;;Asia;;;;;;;;890.0
Netherlands;2015;0.167;0.0041;0.0769;0.0115;0.0379;0.95722267;1425.8136;0.0379;15388.6;40152.87;703771.17;0.0745896530151367;69.6892;Europe;217.630356318106;28.2024906217988;64.5061109108366;22.399997144601;72.5618568659854;112.522823561325;100.634398278194;49850.0
New Zealand;2015;0.1904;0.0065;0.0806;0.0185;0.0413;;1750.8633;0.0413;11622.48;16674.83;111905.34;0.0732718276977539;41.29625;Oceania;241.0;24.0;42.0;17.0;69.0;124.0;85.0;39850.0
Nicaragua;2015;0.1326;0.0017;0.0459;0.0039;0.0345;;;0.0345;3064.03;7695.16;38223.5;0.0647635650634766;;North America;;;;;;;;1890.0
Niger;2015;0.1159;0.0008;0.0299;0.003;0.0425;;;0.0425;7537.79;13600.66;57695.13;0.0461567354202271;;Africa;;;;;;;;560.0
Nigeria;2015;0.1071;0.0013;0.0303;0.0029;0.0386;;;0.0386;103324.08;591631.02;554335.58;0.0532192802429199;;Africa;;;;;;;;2820.0
Niue;2015;0.1176;0.0012;0.0421;0.0077;0.0329;;;0.0329;14.52;5.21;72.23;;;Oceania;;;;;;;;
North Macedonia;2015;0.1137;0.0015;0.0386;0.0046;0.0273;0.61959244;;0.0273;7418.22;4959.59;139903.73;0.0523386669158936;;Europe;;;;;;;;5110.0
Northern Mariana Islands;2015;0.1123;0.0015;0.0422;0.0079;0.029;;;0.029;197.69;162.97;1832.63;;;Oceania;;;;;;;;
Norway;2015;0.1597;0.0049;0.0732;0.0104;0.0341;;1391.9468;0.0341;13991.06;25714.95;136174.37;0.0757874488830566;97.47578;Europe;200.78622;20.44092;55.76926;20.90907;57.0152;128.6927;153.5697;92910.0
Oman;2015;0.1366;0.0028;0.0479;0.0036;0.0407;;;0.0407;13582.97;7818.07;28023.41;;;Asia;;;;;;;;17450.0
Pakistan;2015;0.129;0.0012;0.0359;0.0051;0.0398;;2026.9777;0.0398;358442.29;512918.47;3957771.82;0.0583087062835693;7.966741;Asia;;;;;;;;1260.0
Palau;2015;0.1168;0.0012;0.0416;0.0077;0.0326;;;0.0326;124.05;62.91;921.85;;;Oceania;;;;;;;;15860.0
Panama;2015;0.1215;0.0029;0.0385;0.0065;0.0311;;;0.0311;1976.2;5294.53;27201.16;0.065676589012146;;North America;;;;;;;;12200.0
Papua New Guinea;2015;0.1196;0.0008;0.0407;0.0068;0.0314;;;0.0314;15427.81;18247.74;218138.26;;;Oceania;;;;;;;;2860.0
Paraguay;2015;0.1582;0.0022;0.0659;0.0071;0.0391;;;0.0391;7606.14;19029.33;100292.63;0.0571329545974731;;South America;;;;;;;;5640.0
Peru;2015;0.1383;0.003;0.0584;0.0092;0.0231;;2133.8416;0.0231;24039.12;81685.65;116650.23;0.0571093654632568;10.481914;South America;;;;;;;;6340.0
Philippines;2015;0.1196;0.001;0.0471;0.0054;0.0285;;2149.714;0.0285;54047.11;130420.68;2889904.76;0.055942702293396;8.691644;Asia;;;;;;;;3380.0
Poland;2015;0.1048;0.0019;0.0336;0.0091;0.0229;0.82170174;2049.009;0.0229;136094.29;111019.05;2029026.47;0.0620126819610596;31.873243;Europe;229.279299471607;25.0228297949979;57.4597278760614;23.2448354507718;45.1370103305674;121.836563898405;93.1213832904991;13310.0
Portugal;2015;0.1828;0.0045;0.0866;0.0084;0.0471;0.54789066;1878.6017;0.0471;40754.54;30877.12;323621.0;0.0571149921417236;34.318027;Europe;258.797202797203;15.1048951048951;58.4055944055944;12.0839160839161;43.8041958041958;113.79020979021;60.4195804195804;20460.0
Puerto Rico;2015;0.1417;0.0033;0.0468;0.0105;0.0298;;;0.0298;22618.27;10121.43;63146.54;;;North America;;;;;;;;19420.0
Qatar;2015;0.1351;0.0036;0.045;0.0042;0.0415;;;0.0415;6235.87;5156.91;17251.15;;;Asia;;;;;;;;73440.0
Romania;2015;0.1115;0.0016;0.0353;0.0035;0.0283;0.58240734;1785.6711;0.0283;74800.91;78732.64;1107981.68;0.0608990478515625;28.203129;Europe;;;;;;;;9600.0
Rwanda;2015;0.1305;0.0009;0.0372;0.0044;0.0519;;;0.0519;2214.92;8464.23;117646.76;0.0310837388038635;;Africa;;;;;;;;750.0
Saint Kitts and Nevis;2015;0.1508;0.003;0.0454;0.0084;0.0413;;;0.0413;232.8;128.92;594.25;;;North America;;;;;;;;
Saint Lucia;2015;0.144;0.0022;0.045;0.0121;0.034;;;0.034;759.1;295.13;2622.72;;;North America;;;;;;;;
Saint Vincent and the Grenadines;2015;0.1438;0.0022;0.0445;0.0091;0.0345;;;0.0345;654.26;206.85;1572.0;;;North America;;;;;;;;
Samoa;2015;0.1158;0.001;0.0418;0.01;0.0291;;;0.0291;807.89;451.9;6847.15;;;Oceania;;;;;;;;3960.0
San Marino;2015;0.1593;0.0057;0.061;0.0112;0.0449;;;0.0449;103.21;93.31;977.94;;;Europe;;;;;;;;
Sao Tome and Principe;2015;0.1093;0.0011;0.0316;0.0034;0.0376;;;0.0376;134.02;184.67;1159.57;;;Africa;;;;;;;;1650.0
Saudi Arabia;2015;0.137;0.0029;0.0477;0.0043;0.044;;;0.044;152926.77;70037.84;410460.96;0.0629428243637085;;Asia;;;;;;;;23710.0
Senegal;2015;0.1094;0.001;0.0293;0.0032;0.0405;;;0.0405;14106.14;14354.75;98447.56;0.0468302488327026;;Africa;;;;;;;;1320.0
Serbia;2015;0.1137;0.0015;0.0358;0.0045;0.0299;0.45182903;;0.0299;35329.22;22155.94;643652.99;0.0512203121185303;;Europe;;;;;;;;5960.0
Seychelles;2015;0.1084;0.0015;0.0392;0.0096;0.0277;;;0.0277;177.96;404.59;2695.89;;;Africa;;;;;;;;14020.0
Sierra Leone;2015;0.1231;0.0009;0.037;0.0035;0.0446;;;0.0446;4534.36;9357.28;65814.88;0.0408956241607666;;Africa;;;;;;;;550.0
Slovakia;2015;0.1125;0.0019;0.037;0.0077;0.029;0.71500603;1754.0863;0.029;14596.18;18174.93;228830.39;0.0636550903320312;37.41844;Europe;;;;;;;;
Slovenia;2015;0.1166;0.0019;0.0367;0.0096;0.0338;0.83706833;1687.3127;0.0338;3622.63;7349.27;76532.42;0.0616683769226074;38.51726;Europe;226.685159500693;17.9750346740638;40.9431345353675;31.9556171983356;61.9140083217753;119.833564493759;91.872399445215;22270.0
Solomon Islands;2015;0.1225;0.0007;0.0412;0.007;0.0308;;;0.0308;2200.91;2084.36;30742.08;;;Oceania;;;;;;;;2130.0
Somalia;2015;0.1433;0.0005;0.0334;0.0034;0.0493;;;0.0493;3335.66;11617.65;166741.7;;;Africa;;;;;;;;290.0
South Africa;2015;0.1195;0.0017;0.0393;0.0101;0.0438;;;0.0438;160193.5;420123.29;1096789.48;0.0451365518569946;;Africa;188.80248;9.480088;69.55183;5.085051;82.14614;131.7347;81.8246;6050.0
South Sudan;2015;0.1324;0.0015;0.0507;0.0035;0.0478;;;0.0478;1682.45;7913.2;58115.71;0.0281662249565125;;Africa;;;;;;;;1090.0
Spain;2015;0.1872;0.0064;0.0588;0.0164;0.0502;0.77145706;1694.2372;0.0502;144182.04;140905.76;1647781.68;0.0623017311096191;53.697327;Europe;175.7783;25.44376;50.57229;41.87796;50.7935;129.4404;84.72557;28450.0
Sri Lanka;2015;0.1146;0.0012;0.0418;0.006;0.03;;1924.0125;0.03;33682.85;30280.29;315045.88;0.0433094549179077;16.714605;Asia;;;;;;;;3760.0
Sudan;2015;0.1601;0.0015;0.0492;0.0033;0.0457;;;0.0457;199449.6;115985.5;458556.39;;;Africa;;;;;;;;1540.0
Suriname;2015;0.1547;0.0023;0.0431;0.0072;0.0492;;;0.0492;2371.44;1096.69;12835.38;;;South America;;;;;;;;8890.0
Sweden;2015;0.1533;0.0054;0.0526;0.0087;0.0449;0.96396996;1620.9257;0.0449;21100.25;41938.47;301385.2;0.0728680467605591;63.007225;Europe;262.187136990862;23.4557433148035;57.2329210297313;34.3439450802174;52.7031880998249;113.294143192852;112.323171034108;58420.0
